Treatment,estimate,conf.low,conf.high,p.value,log.estimate,log.conf.low,log.conf.high
2 mm,0.9953,0.06226,15.91,0.9974,-0.00471108,-2.776436114,2.766947842
4 mm,10.5308,1.3473,82.31,0.0248,2.354304297,0.29810259,4.410492607
