Age,Species,Day,Replicate,Treatment,Status,No_recruits,Total_no_recruits,Prop,Binary,Notes
1 month,Cnat,2,3,2mm,dead,0,1,0.0,0.0,alive!
1 month,Cnat,2,3,4mm,dead,1,1,1.0,1.0,dead + using for representative pics
1 month,Cnat,2,4,control,dead,0,10,0.0,0.0,all but 2 extremely retracted
1 month,Cnat,2,4,2mm,dead,1,8,0.1,0.0,8 alive aren't happy and retracted
1 month,Cnat,2,4,4mm,dead,0,9,0.0,0.0,all retracted
1 month,Pstr,3,1,control,dead,0,10,0.0,0.0,all receding in polyp - a little sed on tile
1 month,Pstr,3,1,2mm,dead,2,7,0.3,0.0,one living's tissue is melting
1 month,Pstr,3,1,4mm,dead,7,7,1.0,1.0,all dead w/ melting tissue
1 month,Pstr,3,2,control,dead,0,27,0.0,0.0,
1 month,Pstr,3,2,2mm,dead,14,17,0.8,1.0,
1 month,Pstr,3,2,4mm,dead,7,14,0.5,1.0,one dead tissue melting off
1 month,Pstr,3,3,control,dead,1,1,1.0,1.0,clean dead skeleton
1 month,Pstr,3,3,2mm,dead,1,1,1.0,1.0,
1 month,Pstr,3,3,4mm,dead,1,1,1.0,1.0,dead w/ tissue melting
1 month,Pstr,3,4,control,dead,0,1,0.0,0.0,alive but unhappy
1 month,Pstr,3,4,2mm,dead,0,11,0.0,0.0,alive!
1 month,Pstr,3,4,4mm,dead,4,7,0.6,1.0,
1 month,Ofav,3,1,control,dead,0,5,0.0,0.0,alive - not showing under blue light
1 month,Ofav,3,1,2mm,dead,0,8,0.0,0.0,
1 month,Ofav,3,1,4mm,dead,5,6,0.8,1.0,dead - just cups left - alive is in middle tile
1 month,Ofav,3,2,control,dead,1,71,0.0,0.0,2 actively dying/70 alive not fluores
1 month,Ofav,3,2,2mm,dead,63,73,0.9,1.0,
1 month,Ofav,3,2,4mm,dead,71,130,0.5,1.0,"35 alive on right, 25 alive on left"
1 month,Ofav,3,3,control,dead,0,1,0.0,0.0,very tiny - alive!
1 month,Ofav,3,3,2mm,dead,0,1,0.0,0.0,"very tiny, alive not doing great though"
1 month,Ofav,3,3,4mm,dead,1,1,1.0,1.0,
1 month,Ofav,3,4,control,dead,0,18,0.0,0.0,11 alive - 1 actively dying/melting
1 month,Ofav,3,4,2mm,dead,0,29,0.0,0.0,all in groove
1 month,Ofav,3,4,4mm,dead,1,50,0.0,0.0,
1 month,Cnat,3,1,control,dead,0,3,0.0,0.0,
1 month,Cnat,3,1,2mm,dead,0,3,0.0,0.0,
1 month,Cnat,3,1,4mm,dead,0,2,0.0,0.0,alive but not happy
1 month,Cnat,3,2,control,dead,0,1,0.0,0.0,not retracted - actively losing zoox
1 month,Cnat,3,2,2mm,dead,0,1,0.0,0.0,alive but retracted
1 month,Cnat,3,2,4mm,dead,0,1,0.0,0.0,"retracted, alive w/ zoox"
1 month,Cnat,3,3,control,dead,0,1,0.0,0.0,alive but receding tissue inwards
1 month,Cnat,3,3,2mm,dead,0,1,0.0,0.0,alive but retracted
1 month,Cnat,3,3,4mm,dead,1,1,1.0,1.0,dead & melting - no mouth
1 month,Cnat,3,4,control,dead,0,1,0.0,0.0,
1 month,Cnat,3,4,2mm,dead,1,2,0.5,1.0,dead is receded
1 month,Cnat,3,4,4mm,dead,0,2,0.0,0.0,one is receding
1 month,Pstr,5,1,control,dead,1,14,0.1,0.0,live retracted
1 month,Pstr,5,1,2mm,dead,7,19,0.4,0.0,hard to tell condition
1 month,Pstr,5,1,4mm,dead,17,17,1.0,1.0,
1 month,Pstr,5,2,control,dead,0,10,0.0,0.0,healthy
1 month,Pstr,5,2,2mm,dead,1,9,0.1,0.0,retracted
1 month,Pstr,5,2,4mm,dead,11,11,1.0,1.0,
1 month,Pstr,5,3,control,dead,0,2,0.0,0.0,"one healthy, one slight skeleton exposed"
1 month,Pstr,5,3,2mm,dead,0,4,0.0,0.0,all losing tissue but still have tenticles
1 month,Pstr,5,3,4mm,dead,0,2,0.0,0.0,retracted
1 month,Pstr,5,4,control,dead,0,1,0.0,0.0,healthy
1 month,Pstr,5,4,2mm,dead,1,1,1.0,1.0,
1 month,Pstr,5,4,4mm,dead,1,1,1.0,1.0,
1 month,Ofav,5,1,control,dead,0,11,0.0,0.0,healthy
1 month,Ofav,5,1,2mm,dead,2,17,0.1,0.0,"two live extremely retracted, others healthy"
1 month,Ofav,5,1,4mm,dead,5,13,0.4,0.0,live healthy
1 month,Ofav,5,2,control,dead,0,6,0.0,0.0,healthy
1 month,Ofav,5,2,2mm,dead,17,17,1.0,1.0,
1 month,Ofav,5,2,4mm,dead,36,62,0.6,1.0,"live ones like fine, clumped with some dead"
1 month,Ofav,5,3,control,dead,11,27,0.4,0.0,live look okay
1 month,Ofav,5,3,2mm,dead,4,15,0.3,0.0,two live ones losing tissue
1 month,Ofav,5,3,4mm,dead,11,11,1.0,1.0,
1 month,Ofav,5,4,control,dead,0,1,0.0,0.0,healthy
1 month,Ofav,5,4,2mm,dead,0,1,0.0,0.0,healthy
1 month,Ofav,5,4,4mm,dead,1,1,1.0,1.0,
1 month,Cnat,5,1,control,dead,0,8,0.0,0.0,"7 retracted, 2 healthy"
1 month,Cnat,5,1,2mm,dead,2,6,0.3,0.0,live - healthy
1 month,Cnat,5,1,4mm,dead,0,6,0.0,0.0,"three live - hard to tell condition, one live - exposed skeleton"
1 month,Cnat,5,2,control,dead,3,4,0.8,1.0,live - looks okay
1 month,Cnat,5,2,2mm,dead,1,5,0.2,0.0,"two live ones losing tissue, tohers hard to tell"
1 month,Cnat,5,2,4mm,dead,2,4,0.5,1.0,"one live - losing tissue, other okay"
1 month,Cnat,5,3,control,dead,0,21,0.0,0.0,retracted
1 month,Cnat,5,3,2mm,dead,0,3,0.0,0.0,retracted
1 month,Cnat,5,3,4mm,dead,4,4,1.0,1.0,
1 month,Cnat,5,4,control,dead,0,1,0.0,0.0,retracted
1 month,Cnat,5,4,2mm,dead,0,1,0.0,0.0,retracted
1 month,Cnat,5,4,4mm,dead,0,1,0.0,0.0,retracted
1 month,Pstr,7,1,control,dead,2,2,1.0,1.0,
1 month,Pstr,7,1,2mm,dead,0,3,0.0,0.0,look okay
1 month,Pstr,7,1,4mm,dead,3,3,1.0,1.0,
1 month,Pstr,7,2,control,dead,0,1,0.0,0.0,retracted
1 month,Pstr,7,2,2mm,dead,1,1,1.0,1.0,
1 month,Pstr,7,2,4mm,dead,1,1,1.0,1.0,
1 month,Pstr,7,3,control,dead,0,20,0.0,0.0,retracted
1 month,Pstr,7,3,2mm,dead,1,27,0.0,0.0,"hard to see, no zoox"
1 month,Pstr,7,3,4mm,dead,0,12,0.0,0.0,retracted
1 month,Pstr,7,4,control,dead,0,6,0.0,0.0,"three look extremely retracted, three look healthy"
1 month,Pstr,7,4,2mm,dead,5,10,0.5,1.0,live - retracted
1 month,Pstr,7,4,4mm,dead,10,10,1.0,1.0,
1 month,Ofav,7,1,control,dead,0,72,0.0,0.0,no zoox - hard to tell condition
1 month,Ofav,7,1,2mm,dead,55,130,0.4,0.0,no zoox - hard to tell condition
1 month,Ofav,7,1,4mm,dead,11,34,0.3,0.0,live looked okay
1 month,Ofav,7,2,control,dead,1,1,1.0,1.0,
1 month,Ofav,7,2,2mm,dead,0,1,0.0,0.0,retracted - possible tissue loss in center
1 month,Ofav,7,2,4mm,dead,0,1,0.0,0.0,extremely retracted
1 month,Ofav,7,3,control,dead,0,93,0.0,0.0,"all alive, all healthy"
1 month,Ofav,7,3,2mm,dead,1,102,0.0,0.0,live look healthy
1 month,Ofav,7,3,4mm,dead,68,100,0.7,1.0,live look okay/healthy
1 month,Ofav,7,4,control,dead,0,2,0.0,0.0,healthy
1 month,Ofav,7,4,2mm,dead,2,2,1.0,1.0,all dead
1 month,Ofav,7,4,4mm,dead,3,3,1.0,1.0,
1 month,Cnat,7,1,control,dead,0,2,0.0,0.0,
