Treatment,estimate,conf.low,conf.high,p.value,log.estimate,log.conf.low,log.conf.high
2 mm,6.77,0.8133,56.36,0.07692,1.912501087,-0.206655234,4.031759687
4 mm,21.36,2.7995,162.99,0.00315,3.061520014,1.02944083,5.093688849
