Treatment,estimate,conf.low,conf.high,p.value,log.estimate,log.conf.low,log.conf.high
2 mm,2.0294,0.184,22.38,0.007,0.7077,-0.735182177,1.349860082
4 mm,14.2476,1.815,111.86,0.00173,2.6566,0.258876629,2.048674815
