Size_cm,Species,Genotype,Treatment,Treatment_n,Day,Replicate,Status,Status_bi,Notes
1.5,Ofav,F,control,0,3,7,alive,0,
2,Ofav,F,2mm,2,3,7,dead,1,
1,Ofav,F,4mm,4,3,7,dead,1,
1.5,Ofav,B,4mm,4,3,8,alive,0,"barely alive, mostly dead, surviving polyps extremely receded"
2,Ofav,B,control,0,3,8,alive,0,
1,Ofav,B,2mm,2,3,8,alive,0,"barely alive, mostly dead, surviving polyps extremely receded"
1.5,Ofav,A,2mm,2,3,9,alive,0,"barely alive, polyps extremely receded"
2,Ofav,A,4mm,4,3,9,alive,0,"barely alive, polyps extremely receded"
1,Ofav,A,control,0,3,9,alive,0,
1,Ofav,F,4mm,4,3,10,dead,1,
1.5,Ofav,F,control,0,3,10,alive,0,
2,Ofav,F,2mm,2,3,10,alive,0,"barely alive, mostly dead, surviving polyps extremely receded"
2,Ofav,B,control,0,3,11,alive,0,
1,Ofav,B,2mm,2,3,11,dead,1,
1.5,Ofav,B,4mm,4,3,11,alive,0,"barely alive, mostly dead, surviving polyps extremely receded"
1.5,Ofav,A,2mm,2,3,12,alive,0,"barely alive, polyps extremely receded"
2,Ofav,A,4mm,4,3,12,alive,0,"barely alive, polyps extremely receded"
1,Ofav,A,control,0,3,12,alive,0,
1.5,Ofav,C,2mm,2,5,1,alive,0,2mm max height of coral sticking above sediment on day 0
2,Ofav,C,4mm,4,5,1,dead,1,
1,Ofav,C,control,0,5,1,alive,0,
1.5,Ofav,E,control,0,5,2,alive,0,
2,Ofav,E,2mm,2,5,2,dead,1,
1,Ofav,E,4mm,4,5,2,alive,0,barely alive by 1 polyp
1.5,Ofav,E,4mm,4,5,3,dead,1,
2,Ofav,E,control,0,5,3,alive,0,
1,Ofav,E,2mm,2,5,3,alive,0,1mm max height of coral sticking above sediment on day 0
1,Ofav,B,4mm,4,5,4,dead,1,
1.5,Ofav,B,control,0,5,4,alive,0,
2,Ofav,B,2mm,2,5,4,dead,1,
1.5,Ofav,B,control,0,5,5,alive,0,
2,Ofav,B,2mm,2,5,5,dead,1,
1,Ofav,B,4mm,4,5,5,dead,1,
1.5,Ofav,B,4mm,4,5,6,alive,0,"barely alive, mostly dead, surviving polyps extremely receded"
2,Ofav,B,control,0,5,6,alive,0,
1,Ofav,B,2mm,2,5,6,dead,1,
1.5,Ofav,B,2mm,2,5,7,alive,0,partial mortality (~60%)
2,Ofav,B,4mm,4,5,7,dead,1,
1,Ofav,B,control,0,5,7,alive,0,
1.5,Ofav,F,control,0,5,8,alive,0,
2,Ofav,F,2mm,2,5,8,alive,0,"barely alive, polyps extremely receded"
1,Ofav,F,4mm,4,5,8,alive,0,"barely alive, polyps extremely receded"
1.5,Ofav,A,4mm,4,5,9,alive,0,"barely alive, polyps extremely receded"
2,Ofav,A,control,0,5,9,alive,0,
1,Ofav,A,2mm,2,5,9,alive,0,partial mortality (~30%)
1.5,Ofav,D,2mm,2,5,10,alive,0,<1mm max height of coral sticking above sediment on day 0; partial mortality (~80%)
2,Ofav,D,4mm,4,5,10,dead,1,
1,Ofav,D,control,0,5,10,alive,0,
1.5,Ofav,F,control,0,5,11,alive,0,
2,Ofav,F,2mm,2,5,11,dead,1,
1,Ofav,F,4mm,4,5,11,alive,0,"barely alive, mostly dead, surviving polyps extremely receded"
1.5,Ofav,F,4mm,4,5,12,dead,1,
2,Ofav,F,control,0,5,12,alive,0,
1,Ofav,F,2mm,2,5,12,alive,0,partial mortality (~50%)
1.5,Ofav,D,4mm,4,7,1,dead,1,
2,Ofav,D,control,0,7,1,alive,0,
1,Ofav,D,2mm,2,7,1,dead,1,
1,Ofav,D,control,0,7,2,alive,0,
1.5,Ofav,D,2mm,2,7,2,dead,1,
2,Ofav,D,4mm,4,7,2,dead,1,
