Treatment,estimate,conf.low,conf.high,p.value,log.estimate,log.conf.low,log.conf.high
2 mm,1.025,0.3127,3.361,0.9672,0.024692613,-1.162511015,1.212238549
4 mm,3.086,1.1121,8.561,0.0305,1.126875754,0.10625012,2.147217006
