Treatment,estimate,conf.low,conf.high,p.value,log.estimate,log.conf.low,log.conf.high
2 mm,5.4704,1.174,25.49,0.030464,1.69935174,0.160416721,3.238286218
4 mm,12.5974,2.871,55.28,0.000786,2.533490443,1.054660401,4.012411179
