Age,Species,Day,SurveyDay,Replicate,Treatment,Status,No_recruits,Total_no_recruits,Prop,Binary,Notes
3 month,Cnat,1,1,2,4mm,dead,3,13,0.2,0,"receding/unhealthy, some actively losing tissue"
3 month,Cnat,1,1,2,2mm,dead,0,18,0,0,50/50 healthy
3 month,Cnat,1,1,3,control,dead,0,5,0,0,healthy
3 month,Cnat,1,1,3,2mm,dead,0,7,0,0,healthy with slight abrasion
3 month,Cnat,1,1,3,4mm,dead,0,3,0,0,healthy
3 month,Cnat,1,1,4,4mm,dead,0,24,0,0,"updated day 0 count 12->24, healthy"
3 month,Cnat,1,1,4,control,dead,0,12,0,0,"updated day 0 count 9->12, healthy"
3 month,Cnat,1,1,4,2mm,dead,0,7,0,0,"one has slight abrasion, others healthy"
3 month,Pstr,1,1,1,2mm,dead,0,38,0,0,90% healthy
3 month,Pstr,1,1,1,4mm,dead,0,18,0,0,healthy
3 month,Pstr,1,1,1,control,dead,0,13,0,0,healthy
3 month,Pstr,1,1,2,2mm,dead,0,1,0,0,slightly receding
3 month,Pstr,1,1,2,4mm,dead,0,3,0,0,one polyp 10% tissue loss
3 month,Pstr,1,1,2,control,dead,0,3,0,0,slight tissue receding
3 month,Pstr,1,1,3,control,dead,0,2,0,0,healthy
3 month,Pstr,1,1,3,2mm,dead,0,2,0,0,R/U
3 month,Pstr,1,1,3,4mm,dead,0,3,0,0,R/U
3 month,Pstr,1,1,4,4mm,dead,0,1,0,0,healthy
3 month,Pstr,1,1,4,control,dead,0,1,0,0,slight tissue receding
3 month,Pstr,1,1,4,2mm,dead,0,1,0,0,slight tissue receding
3 month,Ofav,1,1,1,2mm,dead,0,6,0,0,"updated day 0 count 5->6, healthy"
3 month,Ofav,1,1,1,4mm,dead,0,10,0,0,"one unhealthy, nine healthy"
3 month,Ofav,1,1,1,control,dead,0,9,0,0,"very healthy, skirting out"
3 month,Ofav,1,1,2,2mm,dead,0,1,0,0,healthy
3 month,Ofav,1,1,2,4mm,dead,0,3,0,0,healthy
3 month,Ofav,1,1,2,control,dead,0,1,0,0,healthy
3 month,Cnat,2,2,1,4mm,dead,3,3,1,1,
3 month,Cnat,2,2,1,control,dead,0,9,0,0,
