Season,Site,Plot,Sed_size,Weight_g,Total,Prop,Total_replicate,Prop_replicate
Summer,Carysfort Reef,10,125-249 µm,0.9427,50.8032,0.01856,,
Summer,Carysfort Reef,10,<125 µm,0.5129,50.8032,0.0101,,
Summer,Carysfort Reef,11,≥500 µm,1.6359,50.8032,0.0322,,
Summer,Carysfort Reef,11,250-499 µm,1.2847,50.8032,0.02529,,
Summer,Carysfort Reef,11,125-249 µm,0.6924,50.8032,0.01363,,
Summer,Carysfort Reef,11,<125 µm,0.7974,50.8032,0.0157,,
Summer,Carysfort Reef,12,≥500 µm,0.1917,50.8032,0.00377,,
Summer,Carysfort Reef,12,250-499 µm,0.4848,50.8032,0.00954,,
Summer,Carysfort Reef,12,125-249 µm,0.5511,50.8032,0.01085,,
Summer,Carysfort Reef,12,<125 µm,0.4179,50.8032,0.00823,,
Summer,Carysfort Reef,13,≥500 µm,0.3432,50.8032,0.00676,,
Summer,Carysfort Reef,13,250-499 µm,0.2333,50.8032,0.00459,,
Summer,Carysfort Reef,13,125-249 µm,0.1779,50.8032,0.0035,,
Summer,Carysfort Reef,13,<125 µm,0.1199,50.8032,0.00236,,
Summer,Carysfort Reef,14,≥500 µm,1.0699,50.8032,0.02106,,
Summer,Carysfort Reef,14,250-499 µm,1.1887,50.8032,0.0234,,
Summer,Carysfort Reef,14,125-249 µm,0.9138,50.8032,0.01799,,
Summer,Carysfort Reef,14,<125 µm,0.3661,50.8032,0.00721,,
Summer,Carysfort Reef,15,≥500 µm,0.3771,50.8032,0.00742,,
Summer,Carysfort Reef,15,250-499 µm,0.6681,50.8032,0.01315,,
Summer,Carysfort Reef,15,125-249 µm,0.3753,50.8032,0.00739,,
Summer,Carysfort Reef,15,<125 µm,0.1882,50.8032,0.0037,,
Summer,Carysfort Reef,16,≥500 µm,0.1837,50.8032,0.00362,,
Summer,Carysfort Reef,16,250-499 µm,0.2373,50.8032,0.00467,,
Summer,Carysfort Reef,16,125-249 µm,0.212,50.8032,0.00417,,
Summer,Carysfort Reef,16,<125 µm,0.1169,50.8032,0.0023,,
Summer,Carysfort Reef,17,≥500 µm,0.9315,50.8032,0.01834,,
Summer,Carysfort Reef,17,250-499 µm,1.1912,50.8032,0.02345,,
Summer,Carysfort Reef,17,125-249 µm,0.7581,50.8032,0.01492,,
Summer,Carysfort Reef,17,<125 µm,0.5545,50.8032,0.01091,,
