Treatment,estimate,conf.low,conf.high,p.value,log.estimate,log.conf.low,log.conf.high
2 mm,3.156,0.6368,15.64,0.15931,1.149305403,-0.451299644,2.749831735
4 mm,9.297,2.1332,40.52,0.00299,2.229691767,0.7576232,3.701795679
