Treatment,estimate,conf.low,conf.high,p.value,log.estimate,log.conf.low,log.conf.high
2 mm,2.9399,0.7791,11.09,0.1115,1.078375567,-0.249615872,2.406043801
4 mm,4.1751,1.1629,14.99,0.0284,1.42913831,0.150916885,2.707383312
